territory_id,municipal_district_name,municipal_district_center,municipal_district_center_lat,municipal_district_center_lon
1953,городской округ город Южно-Сахалинск,г Южно-Сахалинск,46.9574273,142.727438
1954,городской округ Александровск-Сахалинский район,г Александровск-Сахалинский,50.8974983,142.1591667
1955,городской округ Анивский,г Анива,46.7147768,142.527515
1956,городской округ Долинский,г Долинск,47.3241456,142.7979361
1957,городской округ Корсаковский,г Корсаков,46.632815,142.7810147
1958,городской округ Курильский,г Курильск,45.2290413,147.8751845
1959,городской округ Макаровский,г Макаров,48.6242527,142.7814002
1960,городской округ Невельский,г Невельск,46.6877802,141.8601144
1961,городской округ Ногликский,пгт Ноглики,51.7953617,143.1365077
1962,городской округ Охинский,г Оха,53.5891992,142.9496845
1963,городской округ Поронайский,г Поронайск,49.2216366,143.1015759
1964,городской округ Северо-Курильский,г Северо-Курильск,50.6683048,156.1154399
1965,городской округ Смирныховский,пгт Смирных,49.7423531,142.8320066
1966,городской округ Томаринский,г Томари,47.7612087,142.063478
1967,городской округ Тымовский,пгт Тымовское,50.845556,142.655
1968,городской округ Углегорский,г Углегорск,49.079296,142.0633622
1969,городской округ Холмский,г Холмск,47.0545875,142.0487125
1970,городской округ Южно-Курильский,пгт Южно-Курильск,44.0270756,145.8613722
