,territory_id,min_time_to_hub,municipal_district_name,accessibility_category,value
0,1953,0.0,городской округ город Южно-Сахалинск,Хаб (центр),187027
1,1969,0.0,городской округ Холмский,Хаб (центр),32754
2,1957,0.6,городской округ Корсаковский,Высокая доступность (<1 часа),39675
3,1955,0.635,городской округ Анивский,Высокая доступность (<1 часа),20975
4,1956,0.6615384615384615,городской округ Долинский,Высокая доступность (<1 часа),22145
5,1960,0.7230769230769231,городской округ Невельский,Высокая доступность (<1 часа),15099
6,1966,1.3846153846153846,городской округ Томаринский,Средняя доступность (1-2.5 часа),8177
7,1968,2.498,городской округ Углегорский,Средняя доступность (1-2.5 часа),16020
8,1954,2.888,городской округ Александровск-Сахалинский район,Низкая доступность (2.5-4 часа),9868
9,1961,3.076,городской округ Ногликский,Низкая доступность (2.5-4 часа),11222
10,1959,3.276923076923077,городской округ Макаровский,Низкая доступность (2.5-4 часа),6778
11,1962,3.472,городской округ Охинский,Низкая доступность (2.5-4 часа),21086
12,1967,3.8179999999999996,городской округ Тымовский,Низкая доступность (2.5-4 часа),14336
13,1963,4.430769230769231,городской округ Поронайский,Крайняя изоляция (>4 часов),20376
14,1965,5.553846153846154,городской округ Смирныховский,Крайняя изоляция (>4 часов),11238
