,territory_id,category,salary,value,consumption_percent
0,1954,Все категории,96625.0,35795.0,37.05
6,1955,Все категории,108286.4,40773.0,37.65
12,1956,Все категории,106257.6,31605.5,29.74
18,1957,Все категории,128090.6,42369.0,33.08
24,1959,Все категории,95628.8,31120.0,32.54
30,1960,Все категории,108694.7,35221.5,32.4
36,1961,Все категории,192734.4,48126.0,24.97
42,1962,Все категории,126841.9,45555.0,35.91
48,1963,Все категории,93411.3,35882.0,38.41
54,1965,Все категории,94562.8,31276.5,33.07
60,1966,Все категории,102967.7,31822.0,30.9
66,1967,Все категории,101926.2,38008.5,37.29
72,1968,Все категории,147821.8,41434.0,28.03
78,1969,Все категории,108750.4,33590.0,30.89
