,territory_id,category,salary,value,consumption_percent
2,1954,Маркетплейсы,96625.0,3704.0,3.83
8,1955,Маркетплейсы,108286.4,3377.0,3.12
14,1956,Маркетплейсы,106257.6,3339.5,3.14
20,1957,Маркетплейсы,128090.6,3462.5,2.7
26,1959,Маркетплейсы,95628.8,2549.0,2.67
32,1960,Маркетплейсы,108694.7,3423.5,3.15
38,1961,Маркетплейсы,192734.4,4995.5,2.59
44,1962,Маркетплейсы,126841.9,4410.5,3.48
50,1963,Маркетплейсы,93411.3,3614.0,3.87
56,1965,Маркетплейсы,94562.8,2885.0,3.05
62,1966,Маркетплейсы,102967.7,1815.5,1.76
68,1967,Маркетплейсы,101926.2,3305.5,3.24
74,1968,Маркетплейсы,147821.8,4080.0,2.76
80,1969,Маркетплейсы,108750.4,2819.0,2.59
