,territory_id,category,salary,value,consumption_percent
5,1954,Транспорт,96625.0,1600.5,1.66
11,1955,Транспорт,108286.4,3029.5,2.8
17,1956,Транспорт,106257.6,1419.5,1.34
23,1957,Транспорт,128090.6,2375.0,1.85
29,1959,Транспорт,95628.8,1536.0,1.61
35,1960,Транспорт,108694.7,1720.0,1.58
41,1961,Транспорт,192734.4,2592.5,1.35
47,1962,Транспорт,126841.9,2126.0,1.68
53,1963,Транспорт,93411.3,1781.5,1.91
59,1965,Транспорт,94562.8,1549.5,1.64
65,1966,Транспорт,102967.7,1791.0,1.74
71,1967,Транспорт,101926.2,2321.0,2.28
77,1968,Транспорт,147821.8,1951.0,1.32
83,1969,Транспорт,108750.4,1668.5,1.53
