,product,year,month,price,date
0,"Фарш мясной, кг",2024,январь,541.13,2024-01-01
1,"Фарш мясной, кг",2024,февраль,544.1,2024-02-01
2,"Фарш мясной, кг",2024,март,546.21,2024-03-01
3,"Фарш мясной, кг",2024,апрель,547.27,2024-04-01
4,"Фарш мясной, кг",2024,май,546.83,2024-05-01
5,"Фарш мясной, кг",2024,июнь,545.01,2024-06-01
6,"Фарш мясной, кг",2024,июль,545.01,2024-07-01
7,"Фарш мясной, кг",2024,август,544.33,2024-08-01
8,"Фарш мясной, кг",2024,сентябрь,546.76,2024-09-01
9,"Фарш мясной, кг",2024,октябрь,550.28,2024-10-01
10,"Фарш мясной, кг",2024,ноябрь,559.88,2024-11-01
11,"Фарш мясной, кг",2024,декабрь,570.49,2024-12-01
12,"Фарш мясной, кг",2025,январь,564.57,2025-01-01
13,"Фарш мясной, кг",2025,февраль,579.54,2025-02-01
14,"Фарш мясной, кг",2025,март,593.31,2025-03-01
15,"Фарш мясной, кг",2025,апрель,596.69,2025-04-01
16,"Фарш мясной, кг",2025,май,596.69,2025-05-01
17,"Фарш мясной, кг",2025,июнь,597.93,2025-06-01
18,"Фарш мясной, кг",2025,июль,595.91,2025-07-01
19,"Фарш мясной, кг",2025,август,596.46,2025-08-01
20,"Фарш мясной, кг",2025,сентябрь,604.43,2025-09-01
21,"Пельмени, манты, равиоли, кг",2024,январь,484.7,2024-01-01
22,"Пельмени, манты, равиоли, кг",2024,февраль,494.14,2024-02-01
23,"Пельмени, манты, равиоли, кг",2024,март,492.27,2024-03-01
24,"Пельмени, манты, равиоли, кг",2024,апрель,507.31,2024-04-01
25,"Пельмени, манты, равиоли, кг",2024,май,510.9,2024-05-01
26,"Пельмени, манты, равиоли, кг",2024,июнь,516.3,2024-06-01
27,"Пельмени, манты, равиоли, кг",2024,июль,524.58,2024-07-01
28,"Пельмени, манты, равиоли, кг",2024,август,530.36,2024-08-01
29,"Пельмени, манты, равиоли, кг",2024,сентябрь,528.49,2024-09-01
30,"Пельмени, манты, равиоли, кг",2024,октябрь,536.97,2024-10-01
31,"Пельмени, манты, равиоли, кг",2024,ноябрь,545.66,2024-11-01
32,"Пельмени, манты, равиоли, кг",2024,декабрь,549.08,2024-12-01
33,"Пельмени, манты, равиоли, кг",2025,январь,565.03,2025-01-01
34,"Пельмени, манты, равиоли, кг",2025,февраль,588.73,2025-02-01
35,"Пельмени, манты, равиоли, кг",2025,март,590.82,2025-03-01
36,"Пельмени, манты, равиоли, кг",2025,апрель,617.27,2025-04-01
37,"Пельмени, манты, равиоли, кг",2025,май,629.32,2025-05-01
38,"Пельмени, манты, равиоли, кг",2025,июнь,623.32,2025-06-01
39,"Пельмени, манты, равиоли, кг",2025,июль,622.98,2025-07-01
40,"Пельмени, манты, равиоли, кг",2025,август,634.56,2025-08-01
41,"Пельмени, манты, равиоли, кг",2025,сентябрь,649.67,2025-09-01
42,"Говядина бескостная, кг",2024,январь,797.44,2024-01-01
43,"Говядина бескостная, кг",2024,февраль,797.98,2024-02-01
44,"Говядина бескостная, кг",2024,март,794.88,2024-03-01
45,"Говядина бескостная, кг",2024,апрель,795.73,2024-04-01
46,"Говядина бескостная, кг",2024,май,798.56,2024-05-01
47,"Говядина бескостная, кг",2024,июнь,803.22,2024-06-01
48,"Говядина бескостная, кг",2024,июль,805.4,2024-07-01
49,"Говядина бескостная, кг",2024,август,803.95,2024-08-01
50,"Говядина бескостная, кг",2024,сентябрь,808.22,2024-09-01
51,"Говядина бескостная, кг",2024,октябрь,816.8,2024-10-01
52,"Говядина бескостная, кг",2024,ноябрь,833.39,2024-11-01
53,"Говядина бескостная, кг",2024,декабрь,853.34,2024-12-01
54,"Говядина бескостная, кг",2025,январь,873.61,2025-01-01
55,"Говядина бескостная, кг",2025,февраль,908.1,2025-02-01
56,"Говядина бескостная, кг",2025,март,934.84,2025-03-01
57,"Говядина бескостная, кг",2025,апрель,951.9,2025-04-01
