region,category,product,value_other,value_target,diff,diff_percent
Российская Федерация,"Мясо, колбасы и полуфабрикаты","Фарш мясной, кг",477.49333333333334,548.9416666666667,71.44833333333338,14.963210655646161
Российская Федерация,"Мясо, колбасы и полуфабрикаты","Говядина бескостная, кг",768.1033333333334,809.0758333333333,40.97249999999997,5.334243222483082
Российская Федерация,"Мясо, колбасы и полуфабрикаты","Куры охлажденные и мороженые, кг",219.22666666666666,340.65749999999997,121.43083333333331,55.390539472083674
Российская Федерация,"Мясо, колбасы и полуфабрикаты","Колбаса вареная, кг",532.2375000000001,870.3925,338.155,63.534606261302514
Российская Федерация,Морепродукты,"Филе рыбное, кг",550.2441666666666,495.86666666666673,-54.377499999999884,-9.882430981397631
Российская Федерация,Морепродукты,"Рыба мороженая неразделанная, кг",248.2408333333334,143.255,-104.9858333333334,-42.29192753005315
Российская Федерация,Морепродукты,"Икра лососевых рыб, отечественная, кг",6716.369166666666,5635.132500000001,-1081.2366666666658,-16.098529426179283
Российская Федерация,Молочные продукты,"Сметана, кг",303.35083333333336,584.0849999999999,280.73416666666657,92.5443861755228
Российская Федерация,Молочные продукты,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",80.67083333333333,113.98333333333333,33.3125,41.29435463044264
Российская Федерация,Молочные продукты,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",101.3525,160.47333333333333,59.12083333333332,58.33189446075165
Российская Федерация,Детское питание,"Смеси сухие молочные для детского питания, кг",1231.8916666666667,1914.2466666666667,682.355,55.3908284684124
Российская Федерация,Животного происхождения,"Яйца куриные, 10 шт.",115.65583333333332,167.74416666666667,52.08833333333335,45.037359406860894
Российская Федерация,Овощи и фрукты,"Картофель, кг",43.99666666666667,80.83916666666666,36.84249999999999,83.73929843169934
Российская Федерация,Овощи и фрукты,"Огурцы свежие, кг",179.67916666666667,247.3066666666667,67.62750000000003,37.63791943974215
Российская Федерация,Овощи и фрукты,"Помидоры свежие, кг",218.1641666666667,296.2558333333333,78.09166666666664,35.794909796521715
Российская Федерация,Молочные продукты,"Творог, кг",426.49500000000006,684.2416666666668,257.7466666666667,60.43369011750822
Дальневосточный федеральный округ,"Мясо, колбасы и полуфабрикаты","Фарш мясной, кг",627.8133333333334,548.9416666666667,-78.87166666666667,-12.562916790553455
Дальневосточный федеральный округ,"Мясо, колбасы и полуфабрикаты","Говядина бескостная, кг",808.4166666666669,809.0758333333333,0.6591666666664651,0.08153798577463744
Дальневосточный федеральный округ,"Мясо, колбасы и полуфабрикаты","Куры охлажденные и мороженые, кг",328.8075,340.65749999999997,11.849999999999966,3.6039323920530904
Дальневосточный федеральный округ,"Мясо, колбасы и полуфабрикаты","Колбаса вареная, кг",644.2475,870.3925,226.1450000000001,35.102192868424034
Дальневосточный федеральный округ,Морепродукты,"Филе рыбное, кг",426.8525,495.86666666666673,69.01416666666671,16.16815332384529
